stid,stname,prid,kansoku,地点名,カナ,北緯,東経,標高,rain,wind,temp,sun,snow,etc,地域名,南緯,緯度
a1048,比布,12,111200,比布,ピップ,43度52.2分,142度28.2分,164m,True,True,True,True,False,False,上川,,43度52.2分
a1049,層雲峡,12,100010,層雲峡,ソウウンキョウ,43度45.2分,142度55.8分,540m,True,False,False,False,True,False,上川,,43度45.2分
a1052,美瑛,12,111210,美瑛,ビエイ,43度35.3分,142度29.6分,250m,True,True,True,True,True,False,上川,,43度35.3分
a1055,和寒,12,111210,和寒,ワッサム,44度01.7分,142度24.6分,150m,True,True,True,True,True,False,上川,,44度01.7分
a1184,東川,12,111200,東川,ヒガシカワ,43度42.1分,142度30.5分,215m,True,True,True,True,False,False,上川,,43度42.1分
a1185,志比内,12,111200,志比内,シビナイ,43度38.6分,142度34.9分,310m,True,True,True,True,False,False,上川,,43度38.6分
a1188,幾寅,12,111211,幾寅,イクトラ,43度10.1分,142度34.1分,350m,True,True,True,True,True,True,上川,,43度10.1分
a1189,占冠,12,111210,占冠,シムカップ,42度58.7分,142度23.7分,332m,True,True,True,True,True,False,上川,,42度58.7分
a1190,上富良野,12,111200,上富良野,カミフラノ,43度27.3分,142度27.9分,220m,True,True,True,True,False,False,上川,,43度27.3分
a1191,江丹別,12,111200,江丹別,エタンベツ,43度52.2分,142度15.6分,140m,True,True,True,True,False,False,上川,,43度52.2分
a1197,音威子府,12,111210,音威子府,オトイネップ,44度43.6分,142度15.9分,40m,True,True,True,True,True,False,上川,,44度43.6分
a1201,中川,12,111200,中川,ナカガワ,44度49.7分,142度04.6分,22m,True,True,True,True,False,False,上川,,44度49.7分
a1280,麓郷,12,111200,麓郷,ロクゴウ,43度18.1分,142度31.3分,315m,True,True,True,True,False,False,上川,,43度18.1分
a1458,東神楽,12,111010,東神楽,ヒガシカグラ,43度40.2分,142度26.8分,211m,True,True,True,False,True,False,上川,,43度40.2分
a1570,小車,12,100000,小車,オグルマ,44度36.5分,142度17.7分,60m,True,False,False,False,False,False,上川,,44度36.5分
a1572,剣淵,12,100000,剣淵,ケンブチ,44度06.4分,142度21.2分,138m,True,False,False,False,False,False,上川,,44度06.4分
a1574,金山,12,100000,金山,カナヤマ,43度08.3分,142度25.0分,284m,True,False,False,False,False,False,上川,,43度08.3分
a1053,幌加内,12,111210,幌加内,ホロカナイ,44度00.6分,142度09.6分,159m,True,True,True,True,True,False,上川,,44度00.6分
a1279,朱鞠内,12,111210,朱鞠内,シュマリナイ,44度16.9分,142度09.7分,255m,True,True,True,True,True,False,上川,,44度16.9分
s47405,雄武,17,111111,雄武,オウム,44度34.8分,142度57.8分,14.1m,True,True,True,True,True,True,網走・北見・紋別,,44度34.8分
a0063,興部,17,111201,興部,オコッペ,44度28.2分,143度06.5分,8m,True,True,True,True,False,True,網走・北見・紋別,,44度28.2分
s47435,紋別,17,111111,紋別,モンベツ,44度20.7分,143度21.3分,15.8m,True,True,True,True,True,True,網走・北見・紋別,,44度20.7分
a0065,湧別,17,111200,湧別,ユウベツ,44度12.8分,143度37.1分,5m,True,True,True,True,False,False,網走・北見・紋別,,44度12.8分
a0066,滝上,17,111210,滝上,タキノウエ,44度10.6分,143度03.7分,165m,True,True,True,True,True,False,網走・北見・紋別,,44度10.6分
a0067,上藻別,17,100000,上藻別,カミモベツ,44度11.2分,143度20.1分,94m,True,False,False,False,False,False,網走・北見・紋別,,44度11.2分
a0068,常呂,17,111200,常呂,トコロ,44度06.9分,144度02.2分,3m,True,True,True,True,False,False,網走・北見・紋別,,44度06.9分
a0069,遠軽,17,111210,遠軽,エンガル,44度03.2分,143度32.4分,80m,True,True,True,True,True,False,網走・北見・紋別,,44度03.2分
a0070,佐呂間,17,111210,佐呂間,サロマ,44度01.1分,143度45.6分,54m,True,True,True,True,True,False,網走・北見・紋別,,44度01.1分
s47409,網走,17,111111,網走,アバシリ,44度01.0分,144度16.7分,37.6m,True,True,True,True,True,True,網走・北見・紋別,,44度01.0分
a0072,生田原,17,111200,生田原,イクタハラ,43度55.0分,143度31.9分,199m,True,True,True,True,False,False,網走・北見・紋別,,43度55.0分
a0073,仁頃山,17,100000,仁頃山,ニコロヤマ,43度51.6分,143度44.8分,261m,True,False,False,False,False,False,網走・北見・紋別,,43度51.6分
